"","TAVG","TMAX","TMIN","TOBS","DAPR","MDPR","PRCP","SNOW","SNWD","AWND","PGTM","WDF2","WDF5","DATE","NAME"
"73",38,40,35,NA,NA,NA,0.1,0.1,0,22.15,NA,290,300,"2023/3/14","LAGUARDIA AIRPORT, NY US"
"74",38,45,35,NA,NA,NA,0,0,0,25.72,NA,320,320,"2023/3/15","LAGUARDIA AIRPORT, NY US"
"75",43,59,36,NA,NA,NA,0,0,0,9.62,NA,300,300,"2023/3/16","LAGUARDIA AIRPORT, NY US"
"76",52,59,45,NA,NA,NA,0,0,0,7.61,NA,240,230,"2023/3/17","LAGUARDIA AIRPORT, NY US"
"77",51,56,41,NA,NA,NA,0.01,0,0,14.54,NA,330,320,"2023/3/18","LAGUARDIA AIRPORT, NY US"
"78",38,41,31,NA,NA,NA,0,0,0,16.55,NA,270,260,"2023/3/19","LAGUARDIA AIRPORT, NY US"
"79",40,50,34,NA,NA,NA,0,0,0,9.62,NA,170,170,"2023/3/20","LAGUARDIA AIRPORT, NY US"
"80",50,62,40,NA,NA,NA,0,0,0,9.17,NA,170,170,"2023/3/21","LAGUARDIA AIRPORT, NY US"
"81",53,59,48,NA,NA,NA,0,0,0,10.74,NA,180,180,"2023/3/22","LAGUARDIA AIRPORT, NY US"
"82",52,61,47,NA,NA,NA,0.07,0,0,9.62,NA,300,310,"2023/3/23","LAGUARDIA AIRPORT, NY US"
"83",51,58,44,NA,NA,NA,0,0,0,8.72,NA,310,310,"2023/3/24","LAGUARDIA AIRPORT, NY US"
"84",45,46,42,NA,NA,NA,0.17,0,0,14.32,NA,90,100,"2023/3/25","LAGUARDIA AIRPORT, NY US"
"85",50,63,42,NA,NA,NA,0,0,0,11.41,NA,260,290,"2023/3/26","LAGUARDIA AIRPORT, NY US"
"86",52,58,43,NA,NA,NA,0.2,0,0,9.84,NA,60,60,"2023/3/27","LAGUARDIA AIRPORT, NY US"
"87",46,52,42,NA,NA,NA,0,0,0,7.83,NA,360,360,"2023/3/28","LAGUARDIA AIRPORT, NY US"
"88",47,55,40,NA,NA,NA,0.01,0,0,9.62,NA,310,300,"2023/3/29","LAGUARDIA AIRPORT, NY US"
"89",40,46,32,NA,NA,NA,0.02,0,0,15.43,NA,310,310,"2023/3/30","LAGUARDIA AIRPORT, NY US"
"90",45,56,38,NA,NA,NA,0,0,0,8.28,NA,180,190,"2023/3/31","LAGUARDIA AIRPORT, NY US"
"91",58,71,51,NA,NA,NA,0.36,0,0,12.75,NA,320,290,"2023/4/1","LAGUARDIA AIRPORT, NY US"
"92",49,52,41,NA,NA,NA,0,0,0,17.9,NA,310,300,"2023/4/2","LAGUARDIA AIRPORT, NY US"
"93",47,57,38,NA,NA,NA,0,0,0,10.74,NA,180,180,"2023/4/3","LAGUARDIA AIRPORT, NY US"
"94",56,72,46,NA,NA,NA,0,0,0,7.38,NA,160,160,"2023/4/4","LAGUARDIA AIRPORT, NY US"
"95",52,54,45,NA,NA,NA,0.01,0,0,12.97,NA,60,60,"2023/4/5","LAGUARDIA AIRPORT, NY US"
"96",54,78,45,NA,NA,NA,0,0,0,8.28,NA,350,350,"2023/4/6","LAGUARDIA AIRPORT, NY US"
"97",56,59,44,NA,NA,NA,0,0,0,15.21,NA,320,320,"2023/4/7","LAGUARDIA AIRPORT, NY US"
